Number,선택대사,옮길라인,선택번호,비고
0,,,,공란
1,나도 믿기지가 않지만 어쩔 수 없지.,3,1,
2,그래. 엿같은 하루지.,4,2,어 진짜 개짜증나네 씨발 개...
,,,,
3,여기서 뭘 할 수 있지?,9,1,
4,스퀘어로 다시 들어갈 순 없을까?,12,2,
5,괜찮아. 내가 알아서 하지.,15,3,
,,,,
6,여기서 뭘 할 수 있다고?,21,1,
7,경비 일은 어때?,26,2,
8,그냥 물어봤어.,29,3,
9,나가기로 결심했어.,30,4,
,,,,
10,뭘 그렇게 두려워하지?,43,1,
11,그냥 물어봤어.,50,2,
,,,,
12,두려워하지 말고 생존법을 제대로 배워봐. 도움이 될 거야.,46,1,
13,어차피 나가야 하는데 계속 두려워 할바엔 바로 나가는게 어때?,47,2,
14,넌 그냥 나가라.,48,3,
,,,,
15,힘으로 손잡이를 부순다.(힘 1이상 필요),58,1,
16,옆 창문을 통해 들어간다(테크닉 1이상 필요),58,2,
17,그냥 둔다.,57,3,
,,,,
,,,,
18,"자, 받아.(20G)",61,1,
19,내기 싫어.,62,2,
20,날 죽이고 가져가봐.(공격),63,3,
