Number	이름	대화	이벤트	스킵라인	선택지	선택지개수	퀘스트ID	비고
0								Num: 순서 |   \n대신 <br>을 개행문자로 사용
								이벤트: 다음 칸에 해당 이벤트(선택지 등)발생
1	튜튼	아니 설마 너야?					1	
2	튜튼	설마했는데 네가 방출대상자로 뽑히다니...	선택지		1	2		
3	튜튼							선택지 표시 라인
4	튜튼	긍정적이구만. 다른 사람들은 쌍욕을 퍼붓는데 말이야.	스킵	6				선택지(나도 믿기지가 않지만 어쩔 수 없지.)
5	튜튼	네 기분 이해해. 나라도 방출대상자가 됬다면 쌍욕을 퍼부었을거야.	스킵	6				선택지(그래. 엿같은 하루지.)
6	튜튼	아무튼 친구가 방출자로 지정되다니 정말 안타깝군.	퀘스트갱신				1	
7	튜튼	나가기 전에 이곳에서 아웃랜드에서의 생존수칙을 익히는게 좋을거야.						
8	튜튼	혹시 궁금한거 있어?	선택지		3	3		
9	튜튼							선택지 표시 라인
10	튜튼	여기서 아웃랜드에서의 생존수칙들을 배울 수 있어.						선택지(여기서 뭘 할 수 있지?)
11	튜튼	스퀘어의 높으신 분들 말로는 이것이 방출자들에게 배푸는 <br>마지막 호의라더군.						
12	튜튼	나가기 전에 이것저것 생존수칙들을 배우면 좋을 거야.	스킵	17				
13	튜튼	스퀘어에서 한 번 방출대상자를 정하면 24시간 이내에 <br>그 사람은 나가야해.						(스퀘어로 다시 들어갈 순 없을까?)
14	튜튼	만약 제 시간에 나가지 않을 경우 강제로 끌어내거나  <br>저항을 하게 되면 죽을 수도 있어.						
15	튜튼	유감이지만 나같은 일개 경비는 어떻게 해줄 방법이 없어. 미안해.	스킵	17				
16	튜튼	그래. 시간은 많으니 천천히 둘러봐.	스킵	17				(괜찮아. 내가 알아서 하지.)
17	튜튼	그리고 이걸 받도록 해. 방출자들에게 주는 기본 지급품이야.						
18	튜튼	스마트 디바이스-의약품-권총과 나이프같은 무기들이 들어있어. <br>아웃랜드에서 꼭 필요할거야.	아이템					
19	튜튼	만약 나가기로 결심했다면 나에게 다시 말걸도록 해.	종료	20				
								
								
20	튜튼	뭐 물어볼 거 있어?	선택지		6	4		
21	튜튼							선택지 표시 라인
22	튜튼	여기서 아웃랜드에서의 생존수칙들을 배울 수 있어.						선택지(여기서 뭘 할 수 있다고?)
23	튜튼	생존교범-사격술 등 생존에 도움이 되는 것들을 가르쳐주고 있어.						
24	튜튼	솔직히 방출시키는 마당에 왜 이런것들을 가르쳐 주려고 하는지 잘 모르겠지만 <br>방출자들에겐 다른 선택지가 없지.						
25	튜튼	또 물어보고 싶은 거 있어?	선택지		6	4		
26	튜튼							선택지 표시 라인
27	튜튼	8시간동안 서있어야 한다는 것만 제외하곤 할만해. <br>그래도 방출자가 되는 것 보단 낫다고 생각하면서 버티고 있지.						경비 일은 어때?
28	튜튼	또 궁금한 거 있어?	선택지		6	4		
29	튜튼							선택지 표시 라인
30	튜튼	그래.  만약 나갈 생각이거나 궁금한게 있으면 언제든지 물어봐.	종료	20				그냥 물어봤어.
								
31	튜튼	준비를 다 마쳤나보군. 그럼 시타델에 문을 열어달라고 할 테니까 <br>조금만 기다려줘.						나가기로 결심했어.
32	튜튼	다 됬어. 이제 나갈 수 있어. 하지만 나가게되면 당장 갈 곳을 <br> 찾기 마땅치 않을 거야.	퀘스트갱신				1	
33	튜튼	우선 '샌들리'로 가서 내 친구 '콜'을 찾아봐. 내 이름을 대면 네가 <br>마을에 정착하는데 도움을 줄 거야.						
34	튜튼	샌들리는 입구로 나가서 동남쪽으로 가면 나와. <br>중간에 길안내 표지판도 있다고 하니 길찾기는 쉬울 거야.						
35	튜튼	"그럼 이만, 나가서 죽지만 마."	종료	20				
								
36	표지판	시타델 외곽 <br>↑: 시타델	종료	36				
								
37	주민	자네도 방출자인가? 그럼 볼 일 없네.	종료	37				시타델 주민1
								
								
								
								
38	아웃랜더	아웃랜드는 사방에 사람잡는 것들이 많아서 조심해야해. <br>여기서 만반의 준비를 하는게 좋을 거야.	"종료	"	38				시타델 빡빡이1
								
39	추방자	영문도 모른 체 여기서 떠나야 한다니... 정말 가혹하군.	종료	39				시타델 추방자 1
								
40	사냥꾼	자네도 아웃랜드에서의 싸움법을 알고 싶은 건가?	선택지		10	2		
41	사냥꾼							선택지 표시 라인
42	사냥꾼	적과 싸우기 위해서는 우선 무기를 신속하게 꺼내야 한다네. 기본 상태에서 <br>'T'를 누르면 자네가 장비한 무기를 꺼낼 수 있지.						
43	사냥꾼	"무기를 꺼낸 상태에서 공격할 곳을 마우스 좌클릭하면 해당 방향으로 공격을 할 수 있어. <br>무기에 따라 연사력, 화력 등이 다 다르기도 하지."						
44	사냥꾼	만약 총을 쓰고 있다면 'R'키를 눌러 재장전을 할 수 있어. 근접무기와 같은 총알을 쓰지<br>않는 무기들은 재장전이 필요 없고.						
45	사냥꾼	"마지막으로, 무기를 들고있는 상태에서는 이동속도가 약간 감소하게 되지만 신속하게 <br>적을 공격할 수 있어."						
46	사냥꾼	반대로 기본 상태에서는 속도 감소가 없지만 적을 만났을 때 무기를 꺼내고 나서 <br>적을 공격해야 하므로 기습에 취약하지.						
47	사냥꾼	기본적인 싸움법은 이걸로 끝이야. 나머진 자네가 직접 몸으로 배워보는게 좋을 거야. <br>만약 설명을 다시 듣고 싶다면 나에게 말을 걸어.	종료	40				
								
48	사냥꾼	그래. 필요하면 다시 찾아와.	종료	48				
								
49	겁먹은 추방자	"뭐, 뭐야!?"	선택지		12	2		시타델 겁먹은 추방자
50	겁먹은 추방자							선택지 표시 라인
51	겁먹은 추방자	몇 시간 안에 여기서 나가야하는데 난 아무것도 모른단 말이야!						뭘 그렇게 두려워하지?
52	겁먹은 추방자	저 경비원이 뭘 알려준다고 하는데 밖에선 쓸모없을 수도 있고...	선택지		14	3		
53	겁먹은 추방자							선택지 표시 라인
54	겁먹은 추방자	그래. 네 말이 맞아. 뭐라도 배워두는게 좋겠지. <br>조언해줘서 고마워.	종료	54				선택지(저 친구는 최선의 생존법을 알려주고 있어. 그러니 두려워하지 마.)
55	겁먹은 추방자	네 말이 맞아. 어차피 나가야하는데 계속 두려워 할 순 없지.  <br>조언해줘서 고마워.	종료	55				선택지(어차피 나가야 하는데 계속 두려워 할바엔 바로 나가는게 어때?)
56	겁먹은 추방자	뭐라고? 이런 싸가지없는 놈을 봤나?						선택지(넌 그냥 나가라.)
57	겁먹은 추방자	됐어! 그냥 더러워서 바로 나간다!	종료	57				
								
58	겁먹은 추방자	"알, 알았어..."	종료	58				선택지(그냥 물어봤어)
								
								
								
								
								
								
59	표지판	←: 샌들리	종료	59				
								
60	샌들리 주민	여긴 가끔 모래바람이 심하게 불어서 짜증나.	종료	60				
								
